timestamp,class
60.0,intruder
60.04,intruder
60.08,intruder
60.12,intruder
60.16,intruder
60.2,intruder
60.24,intruder
60.28,intruder
60.32,intruder
60.36,intruder
60.4,intruder
60.44,intruder
60.48,intruder
60.52,intruder
60.56,intruder
60.6,intruder
60.64,intruder
60.68,intruder
60.72,intruder
60.76,intruder
60.8,intruder
60.84,intruder
60.88,intruder
60.92,intruder
60.96,intruder
61.0,intruder
61.04,intruder
61.08,intruder
61.12,intruder
61.16,intruder
61.2,intruder
61.24,intruder
61.28,intruder
61.32,intruder
61.36,intruder
61.4,intruder
61.44,intruder
61.48,intruder
61.52,intruder
62.56,intruder
62.6,intruder
62.64,intruder
62.68,intruder
62.72,intruder
62.76,intruder
62.8,intruder
62.84,intruder
62.88,intruder
62.92,intruder
62.96,intruder
63.0,intruder
63.04,intruder
63.08,intruder
63.12,intruder
63.16,intruder
63.2,intruder
63.24,intruder
63.28,intruder
63.32,intruder
63.36,intruder
63.4,intruder
63.44,intruder
63.48,intruder
63.52,intruder
63.56,intruder
63.6,intruder
63.64,intruder
63.68,intruder
63.72,intruder
63.76,intruder
63.8,intruder
63.84,intruder
63.88,intruder
63.92,intruder
63.96,intruder
64.0,intruder
64.04,intruder
64.08,intruder
64.12,intruder
64.16,intruder
64.2,intruder
64.24,intruder
64.28,intruder
64.32,intruder
64.36,intruder
64.4,intruder
64.44,intruder
64.48,intruder
64.52,intruder
64.68,intruder
64.84,intruder
64.84,intruder
64.88,intruder
64.88,intruder
64.92,intruder
64.96,intruder
65.0,intruder
65.04,intruder
65.08,intruder
65.2,intruder
65.24,intruder
65.28,intruder
65.32,intruder
65.36,intruder
65.4,intruder
65.44,intruder
65.48,intruder
65.52,intruder
65.56,intruder
65.6,intruder
65.64,intruder
65.68,intruder
65.72,intruder
65.76,intruder
65.8,intruder
65.84,intruder
65.88,intruder
65.92,intruder
65.96,intruder
66.0,intruder
66.04,intruder
66.12,intruder
66.16,intruder
66.2,intruder
66.24,intruder
66.28,intruder
66.32,intruder
66.36,intruder
66.4,intruder
66.44,intruder
66.48,intruder
66.52,intruder
66.56,intruder
67.24,intruder
67.28,intruder
67.32,intruder
67.36,intruder
67.4,intruder
67.44,intruder
67.48,intruder
67.52,intruder
67.56,intruder
67.72,intruder
67.76,intruder
67.8,intruder
67.84,intruder
67.88,intruder
67.92,intruder
67.96,intruder
68.0,intruder
68.04,intruder
68.08,intruder
68.12,intruder
68.16,intruder
68.68,intruder
72.24,intruder
72.28,intruder
72.32,intruder
72.36,intruder
72.4,intruder
72.44,intruder
72.48,intruder
72.52,intruder
72.56,intruder
72.6,intruder
72.64,intruder
72.68,intruder
72.72,intruder
72.72,intruder
72.76,intruder
72.76,intruder
72.8,intruder
72.8,intruder
72.84,intruder
72.88,intruder
72.92,intruder
72.96,intruder
73.0,intruder
73.04,intruder
73.12,intruder
73.16,intruder
73.2,intruder
73.24,intruder
73.28,intruder
73.32,intruder
73.36,intruder
73.4,intruder
73.44,intruder
73.48,intruder
73.52,intruder
73.64,intruder
73.68,intruder
73.72,intruder
73.76,intruder
73.8,intruder
73.84,intruder
73.88,intruder
73.92,intruder
74.12,intruder
74.16,intruder
74.2,intruder
74.24,intruder
74.28,intruder
74.32,intruder
74.36,intruder
74.48,intruder
74.52,intruder
74.68,intruder
74.72,intruder
74.8,intruder
74.8,intruder
74.84,intruder
74.84,intruder
74.88,intruder
74.88,intruder
74.92,intruder
74.92,intruder
75.08,intruder
75.12,intruder
75.16,intruder
75.2,intruder
75.68,intruder
75.72,intruder
75.84,intruder
75.88,intruder
76.08,intruder
76.12,intruder
76.16,intruder
76.2,intruder
76.24,intruder
76.28,intruder
76.32,intruder
76.36,intruder
76.4,intruder
76.44,intruder
76.48,intruder
76.52,intruder
76.84,intruder
76.88,intruder
76.92,intruder
77.24,intruder
77.28,intruder
77.4,intruder
77.44,intruder
77.48,intruder
77.52,intruder
77.56,intruder
77.6,intruder
77.64,intruder
77.68,intruder
77.72,intruder
77.76,intruder
77.8,intruder
78.36,intruder
78.4,intruder
78.44,intruder
78.48,intruder
78.52,intruder
78.56,intruder
78.6,intruder
78.64,intruder
78.68,intruder
78.72,intruder
79.16,intruder
79.2,intruder
79.24,intruder
79.28,intruder
79.28,intruder
79.32,intruder
79.32,intruder
79.36,intruder
79.4,intruder
79.44,intruder
79.48,intruder
79.52,intruder
79.56,intruder
79.6,intruder
79.64,intruder
79.68,intruder
79.72,intruder
79.76,intruder
79.8,intruder
79.84,intruder
79.88,intruder
79.92,intruder
83.2,intruder
83.32,intruder
83.36,intruder
83.4,intruder
83.8,intruder
83.84,intruder
83.88,intruder
83.92,intruder
83.96,intruder
84.0,intruder
84.04,intruder
84.08,intruder
84.12,intruder
84.16,intruder
84.2,intruder
84.24,intruder
84.28,intruder
84.32,intruder
84.36,intruder
84.4,intruder
84.44,intruder
84.48,intruder
84.52,intruder
84.56,intruder
84.56,intruder
84.6,intruder
84.6,intruder
84.64,intruder
84.68,intruder
84.72,intruder
84.76,intruder
84.8,intruder
84.84,intruder
84.84,intruder
84.88,intruder
84.88,intruder
84.92,intruder
84.92,intruder
84.96,intruder
84.96,intruder
85.0,intruder
85.0,intruder
85.04,intruder
85.08,intruder
85.12,intruder
85.16,intruder
85.2,intruder
85.24,intruder
85.28,intruder
85.32,intruder
85.36,intruder
85.4,intruder
85.44,intruder
85.48,intruder
85.52,intruder
85.56,intruder
85.6,intruder
86.96,intruder
87.0,intruder
87.04,intruder
87.08,intruder
87.12,intruder
87.16,intruder
87.2,intruder
87.24,intruder
87.24,intruder
87.28,intruder
87.28,intruder
87.32,intruder
87.32,intruder
87.36,intruder
87.36,intruder
87.4,intruder
87.4,intruder
87.44,intruder
87.44,intruder
87.48,intruder
87.48,intruder
87.52,intruder
87.52,intruder
87.56,intruder
87.56,intruder
87.6,intruder
87.6,intruder
87.64,intruder
87.68,intruder
87.72,intruder
87.76,intruder
87.8,intruder
87.84,intruder
87.88,intruder
87.92,intruder
87.96,intruder
88.0,intruder
88.0,intruder
88.04,intruder
88.04,intruder
88.08,intruder
88.08,intruder
88.12,intruder
88.12,intruder
88.16,intruder
88.16,intruder
88.2,intruder
88.2,intruder
88.24,intruder
88.28,intruder
88.32,intruder
88.32,intruder
88.36,intruder
88.36,intruder
88.4,intruder
88.44,intruder
88.48,intruder
88.48,intruder
88.52,intruder
88.52,intruder
88.56,intruder
88.56,intruder
88.6,intruder
88.64,intruder
88.68,intruder
88.72,intruder
88.76,intruder
88.8,intruder
88.84,intruder
88.88,intruder
88.92,intruder
88.96,intruder
89.0,intruder
89.04,intruder
89.08,intruder
89.12,intruder
89.16,intruder
89.2,intruder
89.24,intruder
89.28,intruder
89.32,intruder
89.36,intruder
89.4,intruder
89.44,intruder
89.48,intruder
89.52,intruder
89.56,intruder
89.6,intruder
89.64,intruder
89.68,intruder
89.72,intruder
89.76,intruder
89.8,intruder
90.44,intruder
90.48,intruder
90.52,intruder
90.56,intruder
